[2024-09-22 22:31:26,035][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Loaded data with a total of 10819 items from train
[2024-09-22 22:31:35,708][asyncio][DEBUG] - Using selector: EpollSelector
[2024-09-22 22:31:48,377][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2024-09-22 22:31:48,378][omni.kit.telemetry.impl.sentry_extension][INFO] - sentry is disabled for external build
[2024-09-22 22:31:50,295][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2024-09-22 22:31:50,295][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2024-09-22 22:31:50,295][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2024-09-22 22:31:50,296][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2024-09-22 22:31:50,297][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'float[4]' as 'Float4' and array 'Float4Array
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'frame[4]' as 'Frame' and array 'FrameArray
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'half' as 'Half' and array 'HalfArray
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'half[2]' as 'Half2' and array 'Half2Array
[2024-09-22 22:31:50,298][AutoNode][DEBUG] - Defining data type 'half[3]' as 'Half3' and array 'Half3Array
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'half[4]' as 'Half4' and array 'Half4Array
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'int' as 'Int' and array 'IntArray
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'int[2]' as 'Int2' and array 'Int2Array
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'int[3]' as 'Int3' and array 'Int3Array
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'int[4]' as 'Int4' and array 'Int4Array
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'int64' as 'Int64' and array 'Int64Array
